GPS sentence prefix, Latitude, Heading, Longitude, Heading, Time, Data Valid, Checksum, PMS 1.0, PMS 2.5, PMS 10.0, Gas ADC, Gas Oxidizing, Gas Reducing, Gas NH3, Noise Low, Noise Mid, Noise High, Noise Total, Temperature, Humidity, Pressure, Altitude, Lux, Proximity
$GPGLL,5043.87071,N,00157.18412,W,072506.00,A,A*7B,3,4,5,None,9531.914893617022,384000.00000000006,448918.0327868857,0.2128092702964557,0.08031912827192719,0.10047470195295569,0.13120103350711287,22.803405087155284,51.481510172662276,1004.0959592418992,76.49190672576424,239.2812,1298
$GPGLL,5043.86732,N,00157.18390,W,072507.00,A,A*76,3,4,5,None,9601.703940362087,393635.0364963503,453090.9090909091,0.19769197759108195,0.11387611605859223,0.17523466128124435,0.16226758497697283,22.803083487159984,51.40010100147784,1004.1120619429618,76.35685638783357,116.7952,1283
$GPGLL,5043.86397,N,00157.18276,W,072508.00,A,A*7B,3,4,5,None,9601.703940362087,400296.29629629647,453090.9090909091,0.2557460881199957,0.13871028247048076,0.06263820136240815,0.1523648573176282,22.79922428730506,51.34767881431936,1004.1258378875174,76.2413215127964,102.5735,1237
$GPGLL,5043.86064,N,00157.18276,W,072509.00,A,A*75,3,4,5,None,9601.703940362087,417846.15384615416,457333.3333333335,0.27434963301526255,0.1532330780366703,0.09119217527024556,0.1729249621073928,22.79697308746529,51.30692382163514,1004.1687677323386,75.88128951349968,129.8323,1225
$GPGLL,5043.85739,N,00157.18485,W,072510.00,A,A*7B,3,4,5,None,9601.703940362087,425250.0000000001,461647.05882352975,0.23829344139515202,0.10332695706600546,0.07615874969526598,0.13925971605214116,22.781857889983804,51.38796591951448,1004.2210584984458,75.44276879643812,115.43245,1219
$GPGLL,5043.85414,N,00157.18665,W,072511.00,A,A*7A,3,4,5,None,9671.641791044776,400296.29629629647,461647.05882352975,0.2508158593792232,0.15685063358607637,0.2514320871198368,0.21969952669504544,22.768029094487815,51.46321749151589,1004.287031675571,74.88953104960663,61.5083,1253
$GPGLL,5043.85034,N,00157.18682,W,072512.00,A,A*76,3,4,5,None,9671.641791044776,344000.0000000002,461647.05882352975,0.3604700156006796,0.13030770426686375,0.05994880820627403,0.18357550935793912,22.75838109887502,51.58507256102683,1004.3546958552578,74.3221434639972,28.6206,1229
$GPGLL,5043.84702,N,00157.18410,W,072513.00,A,A*7D,3,4,5,None,9741.728922091783,351947.01986754977,461647.05882352975,0.5664808203525621,0.15779875465072224,0.13294136244000235,0.28574031248109555,22.743265907805473,51.83467042197876,1004.4451911715707,73.5633572655309,19.0211,1222
$GPGLL,5043.84393,N,00157.18015,W,072514.00,A,A*77,3,4,5,None,9741.728922091783,365917.8082191783,470495.7264957265,0.5333773323018708,0.14934220916710184,0.11787447406325666,0.2668646718440764,22.679589173002114,52.05393864371451,1004.5594268702221,72.6055914649079,14.2213,1241
$GPGLL,5043.84036,N,00157.17698,W,072515.00,A,A*76,3,4,5,None,9811.965811965812,421519.3798449612,470495.7264957265,0.29196729722195996,0.18455687732708223,0.2829208124266247,0.25314832899188894,22.60111891464994,52.17977797139298,1004.6765568776699,71.6236509962254,10.19195,1240
$GPGLL,5043.83622,N,00157.17486,W,072516.00,A,A*7C,3,4,5,None,9811.965811965812,440774.1935483872,479652.1739130438,0.24963640414463076,0.12248450552567461,0.1466350920141336,0.17291866722814633,22.574747777448284,52.179099842147,1004.7656311846324,70.87697300138129,5.6292,1236
$GPGLL,5043.83187,N,00157.17396,W,072517.00,A,A*73,3,4,5,None,9811.965811965812,444813.0081300816,484350.877192983,0.29872470467966133,0.14786197639614898,0.10673676353026425,0.18444114820202487,22.537120680285646,52.19556067451308,1004.9596125420546,69.25108223607462,6.6958,1234
$GPGLL,5043.82815,N,00157.17342,W,072518.00,A,A*76,3,5,5,None,9882.352941176472,448918.0327868857,489132.7433628319,0.2404338770081954,0.17834921355936195,0.25982468993919733,0.22620259350225158,22.511071160597293,52.27621804333768,1005.1488290419118,67.66537381909545,9.12525,1230
$GPGLL,5043.82418,N,00157.17205,W,072519.00,A,A*74,3,5,5,None,9882.352941176472,448918.0327868857,489132.7433628319,0.2521408120813458,0.09957552128109656,0.07857365755406893,0.14342999697217043,22.499493598685604,52.322388962572866,1005.3030462186805,66.37315220974726,10.31035,1232
$GPGLL,5043.82147,N,00157.17091,W,072520.00,A,A*7E,3,5,5,None,9882.352941176472,444813.0081300816,489132.7433628319,0.2690864268937413,0.1575921749023946,0.151742087882523,0.19280689655955296,22.498528801926135,52.409496128447,1005.4493225051509,65.14761748404392,11.0214,1218
$GPGLL,5043.81840,N,00157.16778,W,072521.00,A,A*73,5,6,6,None,9882.352941176472,429039.3700787404,489132.7433628319,0.2596560605188339,0.13573730673208667,0.07687556494709147,0.15742297739933733,22.497885604092176,52.51403491312399,1005.5529300369132,64.27965825701793,15.05075,1251
$GPGLL,5043.81571,N,00157.16511,W,072522.00,A,A*72,5,6,6,None,9952.890792291222,421519.3798449612,489132.7433628319,0.2179858087416115,0.15241480216846,0.24643974590002632,0.20561345227003258,22.49338321938178,52.56038325193027,1005.6254492587562,63.672180563767704,18.132,1204
$GPGLL,5043.81269,N,00157.16546,W,072523.00,A,A*7F,5,6,6,None,10023.579849946409,351947.01986754977,489132.7433628319,0.3407724927377278,0.051392046944790395,0.027577176933858034,0.13991390553879207,22.471192897993113,52.69918490337454,1005.6796290955629,63.21835104565981,26.96135,1247
$GPGLL,5043.81050,N,00157.16418,W,072524.00,A,A*7A,5,7,7,None,10023.579849946409,407157.8947368421,489132.7433628319,0.23359025265367667,0.18147621784344978,0.2915131584501956,0.2355265429824407,22.412340332697955,52.84858094890144,1005.7614893114832,62.532698410744956,45.56825,1229
$GPGLL,5043.80710,N,00157.16448,W,072525.00,A,A*7C,5,7,7,None,10023.579849946409,417846.15384615416,484350.877192983,0.2773554323658519,0.11113092656749915,0.1590554520859895,0.18251393700644683,22.340623870169292,53.055629411497456,1005.8243906345634,62.00587418573989,72.47145,1233
$GPGLL,5043.80408,N,00157.16513,W,072526.00,A,A*7A,5,7,7,None,10094.42060085837,417846.15384615416,484350.877192983,0.2767216749418034,0.14498087488302397,0.22319120748262866,0.214964585769152,22.304604860989276,53.1649232224948,1005.8447780152902,61.8351272848141,52.20515,1245
$GPGLL,5043.80099,N,00157.16479,W,072527.00,A,A*7A,5,7,7,None,10094.42060085837,421519.3798449612,484350.877192983,0.43938905739972245,0.19497288039430194,0.17032976901576424,0.2682305689365962,22.245109207415613,53.436036969117865,1005.9022882023222,61.35348727110002,29.80585,1236
$GPGLL,5043.79801,N,00157.16525,W,072528.00,A,A*72,5,7,7,None,10094.42060085837,440774.1935483872,489132.7433628319,0.30498300766910347,0.10475126103838206,0.14066256083356726,0.18346560984701762,22.207803844481738,53.64967751215879,1005.9703993191349,60.78309474823224,21.27275,1224
$GPGLL,5043.79304,N,00157.16646,W,072529.00,A,A*7B,5,7,7,None,10094.42060085837,448918.0327868857,494000.00000000023,0.3272344225087759,0.16683811445886024,0.10684111787394233,0.2003045516138595,22.18239761468867,53.614120619799046,1006.0741511741094,59.91429106281756,31.7021,1233
$GPGLL,5043.78760,N,00157.16738,W,072530.00,A,A*7C,6,6,6,None,10165.413533834588,453090.9090909091,498954.9549549553,0.40399511529967325,0.10264137765935019,0.12545726012802053,0.21069791769568133,22.16438813963905,53.52656017929882,1006.183097902719,59.002064306176585,93.74495,1248
$GPGLL,5043.78119,N,00157.16704,W,072531.00,A,A*7A,6,6,6,None,10165.413533834588,453090.9090909091,498954.9549549553,0.4210403425982529,0.14786978453197813,0.2176971887186383,0.2622024386162898,22.148951449576998,53.508706625806006,1006.2596377283626,58.361233076996946,35.84975,1249
$GPGLL,5043.77627,N,00157.16623,W,072532.00,A,A*78,6,6,6,None,10236.559139784946,461647.05882352975,509137.6146788992,0.324064031492024,0.055157448833648016,0.03120486460830688,0.13680878164465965,22.136409140830278,53.45032227029498,1006.3391491602287,57.69556381010342,153.17,1213
$GPGLL,5043.77161,N,00157.16567,W,072533.00,A,A*7F,6,7,7,None,10307.857911733046,461647.05882352975,509137.6146788992,0.31547200314409596,0.11958769153022898,0.06916139657905992,0.16807369708446163,22.123545236219638,53.38612873923559,1006.4563209480298,56.71467986748068,51.67165,1223
$GPGLL,5043.76503,N,00157.16518,W,072534.00,A,A*71,6,7,7,None,10379.310344827587,470495.7264957265,514370.3703703706,0.36132548074703197,0.18312609330849208,0.10865040473382816,0.2177006595964507,22.11132452852437,53.35096644927135,1006.5512790878142,55.919821577537846,139.78815,1230
$GPGLL,5043.75799,N,00157.16394,W,072535.00,A,A*70,6,7,7,None,10379.310344827587,432888.8888888893,519700.9345794397,0.35191545930650453,0.1309922157680917,0.18852639468546858,0.22381135658668827,22.10489257776519,53.40300021499264,1006.6737678449141,54.89460468312875,99.1372,1219
$GPGLL,5043.75176,N,00157.16529,W,072536.00,A,A*74,6,7,7,None,10379.310344827587,453090.9090909091,519700.9345794397,0.31417827259779557,0.08813424573942331,0.06955491938445789,0.1572891459072256,22.10199820007192,53.4435299846035,1006.7255672088635,54.46108031743789,61.74535,1213
$GPGLL,5043.74541,N,00157.16544,W,072537.00,A,A*7F,6,7,7,None,10450.916936353831,466033.8983050852,525132.0754716988,0.40606702988162013,0.14978981592918056,0.20466364378337004,0.25350682986472356,22.095566249972126,53.46074996045564,1006.8148545780382,53.71385002325191,128.3511,1222
$GPGLL,5043.73735,N,00157.16552,W,072538.00,A,A*71,6,7,7,None,10450.916936353831,448918.0327868857,525132.0754716988,0.29736797103812324,0.1538270735225791,0.2416329365027171,0.23094266035447317,22.08913430032708,53.425754825121935,1006.9124396392988,52.897239168144495,116.3811,1234
$GPGLL,5043.73030,N,00157.16157,W,072539.00,A,A*73,7,8,8,None,10450.916936353831,475034.48275862087,530666.6666666667,0.3964425801645356,0.15973273970364987,0.06792160421967679,0.2080323080292874,22.07819998697414,53.39063123718292,1007.016084757313,52.02998674575557,104.41085,1195
$GPGLL,5043.72218,N,00157.16118,W,072540.00,A,A*7F,7,8,8,None,10522.678185745142,475034.48275862087,536307.6923076926,0.3527088931431241,0.08631001958918336,0.03565764481590818,0.15822551918273853,22.06533609059443,53.48888484831126,1007.1000343220459,51.3275902024962,118.2179,1224
$GPGLL,5043.71578,N,00157.15462,W,072541.00,A,A*77,7,8,8,None,10594.594594594595,466033.8983050852,542058.252427185,0.36409581733726853,0.18161144858424053,0.17199897281406668,0.23923541291185857,22.044753860170385,53.58690502676355,1007.1865435871384,50.60382653186864,54.27895,1206
$GPGLL,5043.70935,N,00157.15039,W,072542.00,A,A*7A,7,8,8,None,10522.678185745142,479652.1739130438,542058.252427185,0.457848043794821,0.10946172594637175,0.04797052833233995,0.20509343269117755,22.019669273137062,53.67898056390014,1007.2990209448444,49.662880910131236,55.28585,1224
